date,description,amount,category,account,merchant,location,items
2026-07-03,Demo Payroll Deposit,4200.00,Income/Salary,demo-checking,,,
2026-07-10,Con Edison,-88.10,Housing/Utilities,demo-card,Con Edison,,,
2026-07-12,Netflix,-15.49,Entertainment/Streaming,demo-card,Netflix,,Premium Plan
2026-07-16,Demo Credit Card Payment,-1500.00,,demo-checking,,,
2026-07-17,Demo Payroll Deposit,4200.00,Income/Salary,demo-checking,,,
2026-07-31,Demo Payroll Deposit,4200.00,Income/Salary,demo-checking,,,
2026-08-10,Con Edison,-88.10,Housing/Utilities,demo-card,Con Edison,,,
2026-08-12,Netflix,-15.49,Entertainment/Streaming,demo-card,Netflix,,Premium Plan
2026-08-14,Demo Payroll Deposit,4200.00,Income/Salary,demo-checking,,,
2026-08-16,Demo Credit Card Payment,-1500.00,,demo-checking,,,
2026-08-28,Demo Payroll Deposit,4200.00,Income/Salary,demo-checking,,,
2026-09-02,Whole Foods Market,-186.42,Food/Groceries,demo-card,Whole Foods Market,"New York, NY",Organic Milk;Bananas;Rotisserie Chicken
2026-09-03,OMNY Transit,-34.00,Transport/Transit,demo-card,OMNY,,,
2026-09-05,Starbucks,-6.75,Food/Coffee,demo-card,Starbucks,"New York, NY",
2026-09-06,Uber Trip,-22.18,Transport/Rideshare,demo-card,Uber,,,
2026-09-08,Chipotle Dinner,-16.40,Food/Dining Out,demo-card,Chipotle,"New York, NY",Chicken Burrito Bowl;Chips
2026-09-10,Con Edison,-88.10,Housing/Utilities,demo-card,Con Edison,,,
2026-09-11,Demo Payroll Deposit,4200.00,Income/Salary,demo-checking,,,
2026-09-12,Netflix,-15.49,Entertainment/Streaming,demo-card,Netflix,,Premium Plan
2026-09-15,Trader Joes,-74.21,Food/Groceries,demo-card,Trader Joes,"New York, NY",
2026-09-20,Demo Landlord Rent,-1800.00,Housing/Rent,demo-checking,Demo Apartments,,
2026-09-22,Mystery Charge,-12.99,,demo-card,,,
2026-09-16,Demo Credit Card Payment,-1500.00,,demo-checking,,,
2026-09-18,Demo Savings Transfer,-500.00,,demo-checking,,,
